"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name","Amount spent (USD)","Cost per results","Result indicator","CPM (cost per 1,000 impressions) (USD)","CTR (link click-through rate)",custom_derived_metrics:4014431079149,"Link clicks",Impressions,"Website purchases"
2023-01-01,2023-06-30,"F&K_PopPays-Tia Glover-New Year_Single Image_Static_Homepage_BAU_",not_delivering,"Rubix_Prospecting_Consolidated_Advantage+ Ad set",22485.7,43.9173828125,actions:offsite_conversion.fb_pixel_purchase,8.712038,0.270555,0.07332092,6983,2580992,512
2023-01-01,2023-06-30,"F&K_PopPays-Tyshaniek White-New Year_Single Image_Static_Homepage_BAU_",not_delivering,"Rubix_Prospecting_Consolidated_Advantage+ Ad set",3842.3,46.292771084337,actions:offsite_conversion.fb_pixel_purchase,8.669371,0.292867,0.06394453,1298,443204,83
2023-01-01,2023-06-30,"F&K_PopPays-Tia Glover-New Year_Single Image_Static_Homepage_BAU_",not_delivering,"Rubix_Prospecting_Consolidated_Advantage+ Ad set_New 1.31.23",30582.18,65.346538461538,actions:offsite_conversion.fb_pixel_purchase,9.656261,0.32582,0.04535323,10319,3167083,468
2023-01-01,2023-06-30,"F&K_PopPays-Tyshaniek White-New Year_Single Image_Static_Homepage_BAU_",not_delivering,"Rubix_Prospecting_Consolidated_Advantage+ Ad set_New 1.31.23",114161.1,60.983493589744,actions:offsite_conversion.fb_pixel_purchase,9.7273,0.384649,0.04146822,45143,11736155,1872
2023-01-01,2023-06-30,F&K_UGC-@treyhoyumpa_BAU_C17_H7_7.26,inactive,"Rubix_Prospecting_DBI_Interests_CDCWHO_*_All_20 - 65+_All_*_*",295.79,73.9475,actions:offsite_conversion.fb_pixel_purchase,3.447597,0.100238,0.04651163,86,85796,4
2023-01-01,2023-06-30,"F&K_PopPays-Tia Glover-New Year_Single Video_Static_Homepage_BAU_C-SCR-X_H-SCR-X_* - Copy",inactive,"Rubix_Prospecting_DBI_Interests_HEALTH & FOOD_UGC Videos_All_21 - 65+_Stories_Optimization-Purchases",289.33,144.665,actions:offsite_conversion.fb_pixel_purchase,10.574154,0.233901,0.03125,64,27362,2
2023-01-01,2023-06-30,"F&K_PopPays-Tia Glover-New Year_Single Image_Static_Homepage_BAU_C-SCR-X_H-SCR-X_*_*",inactive,"Rubix_Prospecting_DBI_Interests_FOOD_21 - 65+_All_21 - 65+_NEW CONSOLIDATED_11-15",3131.88,60.228461538462,actions:offsite_conversion.fb_pixel_purchase,14.745614,0.346526,0.07065217,736,212394,52
2023-01-01,2023-06-30,"F&K_PopPays-Tyshaniek White-New Year_Single Image_Static_Homepage_BAU_C-SCR-X_H-SCR-X_*_*",inactive,"Rubix_Prospecting_DBI_Interests_FOOD_21 - 65+_All_21 - 65+_NEW CONSOLIDATED_11-15",4632.08,75.935737704918,actions:offsite_conversion.fb_pixel_purchase,16.677696,0.588318,0.0373317,1634,277741,61
2023-01-01,2023-06-30,"F&K_PopPays-Tyshaniek White-New Year_Single Image_Static_Homepage_BAU_C-SCR-X_H-SCR-X_*_* - Copy",inactive,"Rubix_Prospecting_DBI_Interests_CDCWHO_*_All_20 - 65+_All_*_*",723.5,241.16666666667,actions:offsite_conversion.fb_pixel_purchase,20.252491,0.702609,0.01195219,251,35724,3
2023-01-01,2023-06-30,"F&K_PopPays-Tia Glover-New Year_Single Image_Static_Homepage_BAU_C-SCR-X_H-SCR-X_*_* - Copy",inactive,"Rubix_Prospecting_DBI_Interests_CDCWHO_*_All_20 - 65+_All_*_*",234.4,78.133333333333,actions:offsite_conversion.fb_pixel_purchase,13.084738,0.312605,0.05357143,56,17914,3
2023-01-01,2023-06-30,"F&K_PopPays-Tyshaniek White-New Year_Single Image_Static_Homepage_BAU_C-SCR-X_H-SCR-X_*_* 2",inactive,"Rubix_Prospecting_DBI_Interests_HEALTH_21 - 65+_All_21 - 65+_* -NEW CONSOLIDATED_3-21",104.13,,,11.996544,0.552995,0,48,8680,
2023-01-01,2023-06-30,"F&K_PopPays-Tia Glover-New Year_Single Image_Static_Homepage_BAU_C-SCR-X_H-SCR-X_*_* 2",inactive,"Rubix_Prospecting_DBI_Interests_HEALTH_21 - 65+_All_21 - 65+_* -NEW CONSOLIDATED_3-21",168.23,84.115,actions:offsite_conversion.fb_pixel_purchase,12.694688,0.264111,0.05714286,35,13252,2
